377152 the co goc | da co 87155 mau trong data/data_pikafish_s21.jsonl | phan bo hien tai {'khai_cuoc': 21284, 'trung_cuoc': 44607, 'tan_cuoc': 21264}
179655/1340000 | van 1255 | khai 24% trung 52% tan 24% | 1693 mau/phut
180155/1340000 | van 1261 | khai 24% trung 52% tan 24% | 1701 mau/phut
180655/1340000 | van 1267 | khai 24% trung 52% tan 24% | 1709 mau/phut
181155/1340000 | van 1273 | khai 24% trung 52% tan 24% | 1717 mau/phut
181655/1340000 | van 1279 | khai 24% trung 52% tan 24% | 1724 mau/phut
182155/1340000 | van 1285 | khai 24% trung 52% tan 24% | 1732 mau/phut
182655/1340000 | van 1292 | khai 24% trung 52% tan 24% | 1740 mau/phut
183155/1340000 | van 1300 | khai 24% trung 52% tan 24% | 1748 mau/phut
183655/1340000 | van 1306 | khai 24% trung 52% tan 24% | 1756 mau/phut
184155/1340000 | van 1313 | khai 24% trung 52% tan 24% | 1764 mau/phut
184655/1340000 | van 1319 | khai 24% trung 52% tan 24% | 1772 mau/phut
185155/1340000 | van 1326 | khai 24% trung 52% tan 24% | 1780 mau/phut
185655/1340000 | van 1333 | khai 24% trung 52% tan 24% | 1788 mau/phut
186155/1340000 | van 1340 | khai 24% trung 52% tan 24% | 1795 mau/phut
186655/1340000 | van 1346 | khai 24% trung 52% tan 24% | 1803 mau/phut
187155/1340000 | van 1353 | khai 24% trung 52% tan 24% | 1811 mau/phut
187655/1340000 | van 1359 | khai 24% trung 52% tan 24% | 1819 mau/phut
188155/1340000 | van 1366 | khai 24% trung 52% tan 24% | 1826 mau/phut
188655/1340000 | van 1373 | khai 24% trung 52% tan 24% | 1834 mau/phut
189155/1340000 | van 1380 | khai 24% trung 52% tan 24% | 1842 mau/phut
189655/1340000 | van 1388 | khai 24% trung 52% tan 24% | 1849 mau/phut
190155/1340000 | van 1393 | khai 24% trung 52% tan 24% | 1857 mau/phut
190655/1340000 | van 1399 | khai 24% trung 52% tan 24% | 1864 mau/phut
191155/1340000 | van 1406 | khai 24% trung 52% tan 24% | 1872 mau/phut
191655/1340000 | van 1413 | khai 24% trung 52% tan 24% | 1880 mau/phut
192155/1340000 | van 1420 | khai 24% trung 52% tan 24% | 1887 mau/phut
192655/1340000 | van 1426 | khai 24% trung 52% tan 24% | 1895 mau/phut
193155/1340000 | van 1432 | khai 24% trung 52% tan 24% | 1903 mau/phut
193655/1340000 | van 1438 | khai 24% trung 52% tan 24% | 1910 mau/phut
194155/1340000 | van 1444 | khai 24% trung 52% tan 24% | 1917 mau/phut
194655/1340000 | van 1452 | khai 24% trung 52% tan 24% | 1925 mau/phut
195155/1340000 | van 1458 | khai 24% trung 52% tan 24% | 1932 mau/phut
195655/1340000 | van 1465 | khai 24% trung 52% tan 24% | 1940 mau/phut
196155/1340000 | van 1473 | khai 24% trung 52% tan 24% | 1947 mau/phut
196655/1340000 | van 1480 | khai 24% trung 52% tan 24% | 1955 mau/phut
197155/1340000 | van 1486 | khai 24% trung 52% tan 24% | 1963 mau/phut
197655/1340000 | van 1492 | khai 24% trung 52% tan 24% | 1970 mau/phut
198155/1340000 | van 1499 | khai 24% trung 52% tan 24% | 1977 mau/phut
198655/1340000 | van 1506 | khai 24% trung 52% tan 24% | 1985 mau/phut
199155/1340000 | van 1512 | khai 24% trung 52% tan 24% | 1992 mau/phut
199655/1340000 | van 1519 | khai 24% trung 52% tan 24% | 2000 mau/phut
200155/1340000 | van 1524 | khai 24% trung 52% tan 24% | 2007 mau/phut
200655/1340000 | van 1531 | khai 24% trung 52% tan 24% | 2015 mau/phut
201155/1340000 | van 1538 | khai 24% trung 52% tan 24% | 2022 mau/phut
201655/1340000 | van 1544 | khai 24% trung 52% tan 24% | 2029 mau/phut
202155/1340000 | van 1551 | khai 24% trung 52% tan 24% | 2037 mau/phut
202655/1340000 | van 1559 | khai 24% trung 52% tan 24% | 2044 mau/phut
203155/1340000 | van 1564 | khai 24% trung 52% tan 24% | 2051 mau/phut
203655/1340000 | van 1570 | khai 24% trung 52% tan 24% | 2059 mau/phut
204155/1340000 | van 1576 | khai 24% trung 52% tan 24% | 2066 mau/phut
204655/1340000 | van 1583 | khai 24% trung 52% tan 24% | 2073 mau/phut
205155/1340000 | van 1588 | khai 24% trung 52% tan 24% | 2081 mau/phut
205655/1340000 | van 1595 | khai 24% trung 52% tan 24% | 2088 mau/phut
206155/1340000 | van 1602 | khai 24% trung 52% tan 24% | 2095 mau/phut
206655/1340000 | van 1610 | khai 24% trung 52% tan 24% | 2102 mau/phut
207155/1340000 | van 1616 | khai 24% trung 52% tan 24% | 2109 mau/phut
207655/1340000 | van 1622 | khai 24% trung 52% tan 24% | 2116 mau/phut
208155/1340000 | van 1630 | khai 24% trung 52% tan 24% | 2124 mau/phut
208655/1340000 | van 1636 | khai 24% trung 52% tan 24% | 2131 mau/phut
209155/1340000 | van 1643 | khai 24% trung 52% tan 24% | 2138 mau/phut
209655/1340000 | van 1650 | khai 24% trung 52% tan 24% | 2145 mau/phut
210155/1340000 | van 1658 | khai 24% trung 52% tan 24% | 2152 mau/phut
210655/1340000 | van 1664 | khai 24% trung 52% tan 24% | 2159 mau/phut
211155/1340000 | van 1670 | khai 24% trung 52% tan 24% | 2166 mau/phut
211655/1340000 | van 1677 | khai 24% trung 52% tan 24% | 2173 mau/phut
212155/1340000 | van 1684 | khai 24% trung 52% tan 24% | 2179 mau/phut
212655/1340000 | van 1690 | khai 24% trung 52% tan 24% | 2186 mau/phut
213155/1340000 | van 1697 | khai 24% trung 52% tan 24% | 2193 mau/phut
213655/1340000 | van 1705 | khai 24% trung 52% tan 24% | 2199 mau/phut
214155/1340000 | van 1712 | khai 24% trung 52% tan 24% | 2206 mau/phut
214655/1340000 | van 1720 | khai 24% trung 52% tan 24% | 2213 mau/phut
215155/1340000 | van 1725 | khai 24% trung 52% tan 24% | 2219 mau/phut
215655/1340000 | van 1732 | khai 24% trung 52% tan 24% | 2226 mau/phut
216155/1340000 | van 1738 | khai 24% trung 52% tan 24% | 2232 mau/phut
216655/1340000 | van 1744 | khai 24% trung 52% tan 24% | 2237 mau/phut
217155/1340000 | van 1752 | khai 24% trung 52% tan 24% | 2243 mau/phut
217655/1340000 | van 1759 | khai 24% trung 52% tan 24% | 2249 mau/phut
218155/1340000 | van 1764 | khai 24% trung 52% tan 24% | 2255 mau/phut
218655/1340000 | van 1770 | khai 24% trung 52% tan 24% | 2253 mau/phut
219155/1340000 | van 1776 | khai 24% trung 52% tan 24% | 2260 mau/phut
219655/1340000 | van 1783 | khai 24% trung 52% tan 24% | 2268 mau/phut
220155/1340000 | van 1789 | khai 24% trung 52% tan 24% | 2274 mau/phut
220655/1340000 | van 1796 | khai 24% trung 52% tan 24% | 2280 mau/phut
221155/1340000 | van 1801 | khai 24% trung 52% tan 24% | 2286 mau/phut
221655/1340000 | van 1807 | khai 24% trung 52% tan 24% | 2293 mau/phut
222155/1340000 | van 1813 | khai 24% trung 52% tan 24% | 2299 mau/phut
222655/1340000 | van 1819 | khai 24% trung 52% tan 24% | 2306 mau/phut
223155/1340000 | van 1825 | khai 24% trung 52% tan 24% | 2312 mau/phut
223655/1340000 | van 1830 | khai 24% trung 52% tan 24% | 2319 mau/phut
224155/1340000 | van 1836 | khai 24% trung 52% tan 24% | 2321 mau/phut
224655/1340000 | van 1842 | khai 24% trung 52% tan 24% | 2325 mau/phut
225155/1340000 | van 1849 | khai 24% trung 52% tan 24% | 2332 mau/phut
225655/1340000 | van 1855 | khai 24% trung 52% tan 24% | 2339 mau/phut
226155/1340000 | van 1861 | khai 24% trung 52% tan 24% | 2345 mau/phut
226655/1340000 | van 1869 | khai 24% trung 52% tan 24% | 2351 mau/phut
227155/1340000 | van 1876 | khai 24% trung 52% tan 24% | 2358 mau/phut
