Co 5297 the co khai cuoc lam diem xuat phat
Da co san 769 the co trong data_w3.jsonl
3825/6216000 | khai 917, trung 1222, tan 917 | nhan: chessdb 0, engine 3056 | 635 mau/phut
3850/6216000 | khai 925, trung 1232, tan 924 | nhan: chessdb 0, engine 3081 | 634 mau/phut
3875/6216000 | khai 932, trung 1242, tan 932 | nhan: chessdb 0, engine 3106 | 634 mau/phut
3900/6216000 | khai 940, trung 1252, tan 939 | nhan: chessdb 0, engine 3131 | 635 mau/phut
3925/6216000 | khai 947, trung 1262, tan 947 | nhan: chessdb 0, engine 3156 | 635 mau/phut
3950/6216000 | khai 955, trung 1272, tan 954 | nhan: chessdb 0, engine 3181 | 635 mau/phut
3975/6216000 | khai 962, trung 1282, tan 962 | nhan: chessdb 0, engine 3206 | 635 mau/phut
4000/6216000 | khai 970, trung 1292, tan 969 | nhan: chessdb 0, engine 3231 | 635 mau/phut
4025/6216000 | khai 977, trung 1302, tan 977 | nhan: chessdb 0, engine 3256 | 634 mau/phut
4050/6216000 | khai 985, trung 1312, tan 984 | nhan: chessdb 0, engine 3281 | 634 mau/phut
4075/6216000 | khai 992, trung 1322, tan 992 | nhan: chessdb 0, engine 3306 | 634 mau/phut
4100/6216000 | khai 1000, trung 1332, tan 999 | nhan: chessdb 0, engine 3331 | 634 mau/phut
4125/6216000 | khai 1007, trung 1342, tan 1007 | nhan: chessdb 0, engine 3356 | 634 mau/phut
4150/6216000 | khai 1015, trung 1352, tan 1014 | nhan: chessdb 0, engine 3381 | 635 mau/phut
4175/6216000 | khai 1022, trung 1362, tan 1022 | nhan: chessdb 0, engine 3406 | 635 mau/phut
4200/6216000 | khai 1030, trung 1372, tan 1029 | nhan: chessdb 0, engine 3431 | 635 mau/phut
4225/6216000 | khai 1037, trung 1382, tan 1037 | nhan: chessdb 0, engine 3456 | 635 mau/phut
4250/6216000 | khai 1045, trung 1392, tan 1044 | nhan: chessdb 0, engine 3481 | 633 mau/phut
4275/6216000 | khai 1052, trung 1402, tan 1052 | nhan: chessdb 0, engine 3506 | 632 mau/phut
4300/6216000 | khai 1060, trung 1412, tan 1059 | nhan: chessdb 0, engine 3531 | 228 mau/phut
4325/6216000 | khai 1067, trung 1422, tan 1067 | nhan: chessdb 0, engine 3556 | 229 mau/phut
4350/6216000 | khai 1075, trung 1432, tan 1074 | nhan: chessdb 0, engine 3581 | 229 mau/phut
4375/6216000 | khai 1082, trung 1442, tan 1082 | nhan: chessdb 0, engine 3606 | 114 mau/phut
4400/6216000 | khai 1090, trung 1452, tan 1089 | nhan: chessdb 0, engine 3631 | 115 mau/phut
4425/6216000 | khai 1097, trung 1462, tan 1097 | nhan: chessdb 0, engine 3656 | 115 mau/phut
4450/6216000 | khai 1105, trung 1472, tan 1104 | nhan: chessdb 0, engine 3681 | 74 mau/phut
